Fragment_length Count Normalized_Frequency Reference_Normalised_Freq	Sampling_Lines
645 99 0.000007 1.0918044239394147e-05	47
646 103 0.000008 1.0903179840057894e-05	47
647 75 0.000006 1.0796699287120317e-05	47
648 103 0.000008 1.0904466182308147e-05	47
649 82 0.000006 1.0776117811116273e-05	47
650 106 0.000008 1.0699366056851201e-05	47
651 91 0.000007 1.0702224595185096e-05	47
652 87 0.000006 1.0576305981577034e-05	46
653 99 0.000007 1.0672495796512592e-05	46
654 122 0.000009 1.0674639700263011e-05	46
655 91 0.000007 1.0638193336505854e-05	46
656 104 0.000008 1.0611894783834023e-05	46
657 79 0.000006 1.0552151332655623e-05	46
658 88 0.000007 1.0515276188148383e-05	46
659 94 0.000007 1.0625329914003328e-05	46
660 81 0.000006 1.0488977635476551e-05	46
661 78 0.000006 1.0446671268134908e-05	45
662 97 0.000007 1.031846582385973e-05	45
663 84 0.000006 1.0413369296545035e-05	45
664 90 0.000007 1.0464394205805057e-05	45
665 95 0.000007 1.0342477545864447e-05	45
666 96 0.000007 1.031417801635889e-05	45
667 85 0.000006 1.0471254697806403e-05	46
668 73 0.000005 1.0490835685393582e-05	46
669 105 0.000008 1.0647483586091012e-05	46
670 79 0.000006 1.0565157682074845e-05	46
671 86 0.000006 1.0483260558808761e-05	46
672 82 0.000006 1.0501412277228993e-05	46
673 94 0.000007 1.059974599591497e-05	46
674 86 0.000006 1.0565872316658319e-05	46
675 58 0.000004 1.0538001567902846e-05	46
676 89 0.000007 1.0591456234746675e-05	46
677 89 0.000007 1.0755393408195538e-05	47
678 88 0.000007 1.0685787999765202e-05	46
679 79 0.000006 1.0932479857980314e-05	48
680 88 0.000007 1.1211759053201827e-05	49
681 75 0.000006 1.0687503122765539e-05	46
682 90 0.000007 1.0549435721238424e-05	46
683 63 0.000005 1.0506843500063393e-05	46
684 65 0.000005 1.0536572298735898e-05	46
685 70 0.000005 1.0263296034015564e-05	45
686 78 0.000006 1.0288165317520448e-05	45
687 91 0.000007 1.0177254030165333e-05	44
688 82 0.000006 1.0163533046162639e-05	44
689 72 0.000005 1.0258579445764637e-05	45
690 75 0.000006 1.020012233683649e-05	44
691 86 0.000006 9.94356852136944e-06	43
692 64 0.000005 1.0083208118980196e-05	44
693 66 0.000005 1.0155814992661121e-05	44
694 72 0.000005 1.0092641295482049e-05	44
695 69 0.000005 9.989876842378535e-06	43
696 52 0.000004 9.947713401953588e-06	43
697 63 0.000005 9.975727077625756e-06	43
698 73 0.000005 1.0044046143805838e-05	44
699 56 0.000004 1.0096357395316112e-05	44
700 57 0.000004 1.0271157014433773e-05	45
