Fragment_length Count Normalized_Frequency Reference_Normalised_Freq	Sampling_Lines
141 73278 0.005447 0.007675362946621998	33719
142 78307 0.005821 0.008729761681339399	38351
143 82843 0.006158 0.009878794328577219	43399
144 87805 0.006527 0.010790603025342536	47405
145 86705 0.006445 0.011145053060203561	48962
146 84715 0.006298 0.011057616661354056	48578
147 81043 0.006025 0.010893154660267091	47856
148 79392 0.005902 0.010845359041762872	47646
149 77495 0.005761 0.010877083957753936	47785
150 75467 0.005610 0.01101011704449431	48369
151 74271 0.005521 0.011337223302141717	49806
152 74610 0.005546 0.01178984969315344	51795
153 76980 0.005723 0.012247801969861959	53807
154 76163 0.005662 0.01269346210295398	55765
155 81634 0.006068 0.013202998133166796	58003
156 81652 0.006070 0.013639640435376878	59921
157 78974 0.005871 0.01388974638885108	61020
158 78103 0.005806 0.014170916507180463	62255
159 79060 0.005877 0.014676742154635884	64478
160 79654 0.005921 0.015405135454818263	67678
161 82894 0.006162 0.01624995116133659	71389
162 83905 0.006237 0.017179656594902754	75474
163 83864 0.006234 0.018180298372347515	79870
164 88305 0.006564 0.019233741926480648	84498
165 90640 0.006738 0.02015660216122555	88552
166 93125 0.006923 0.020663323388740978	90778
167 90642 0.006738 0.02063224993363621	90642
168 88103 0.006549 0.019972148972300492	87742
169 84253 0.006263 0.018824648072828888	82700
170 78216 0.005814 0.017470945510153376	76753
171 72512 0.005390 0.016113208120619567	70788
172 64119 0.004766 0.014903925346283667	65476
173 61602 0.004579 0.0140959121773989	61926
174 58335 0.004336 0.013617094000122117	59822
175 56961 0.004234 0.013271639070763275	58305
176 52900 0.003932 0.012875517549924565	56564
177 51318 0.003815 0.012192675915654299	53565
178 46927 0.003488 0.011209053303741879	49243
179 42056 0.003126 0.010131794980895238	44511
180 38592 0.002869 0.00911265360091501	40033
181 33499 0.002490 0.008208818653905176	36063
182 30950 0.002301 0.007487625011297462	32894
183 28779 0.002139 0.00690884074701913	30352
184 26963 0.002004 0.006435314724686803	28271
185 23910 0.001777 0.006060562921797707	26625
186 22800 0.001695 0.005752916878492873	25273
187 22110 0.001644 0.005458727404394848	23981
