Fragment_length Count Normalized_Frequency Reference_Normalised_Freq
153 76980 0.005723 0.012247801969861959
154 76163 0.005662 0.01269346210295398
155 81634 0.006068 0.013202998133166796
156 81652 0.006070 0.013639640435376878
157 78974 0.005871 0.01388974638885108
158 78103 0.005806 0.014170916507180463
159 79060 0.005877 0.014676742154635884
160 79654 0.005921 0.015405135454818263
161 82894 0.006162 0.01624995116133659
162 83905 0.006237 0.017179656594902754
163 83864 0.006234 0.018180298372347515
164 88305 0.006564 0.019233741926480648
165 90640 0.006738 0.02015660216122555
166 93125 0.006923 0.020663323388740978
167 90642 0.006738 0.02063224993363621
168 88103 0.006549 0.019972148972300492
169 84253 0.006263 0.018824648072828888
170 78216 0.005814 0.017470945510153376
171 72512 0.005390 0.016113208120619567
172 64119 0.004766 0.014903925346283667
173 61602 0.004579 0.0140959121773989
174 58335 0.004336 0.013617094000122117
175 56961 0.004234 0.013271639070763275
176 52900 0.003932 0.012875517549924565
177 51318 0.003815 0.012192675915654299
178 46927 0.003488 0.011209053303741879
179 42056 0.003126 0.010131794980895238
180 38592 0.002869 0.00911265360091501
181 33499 0.002490 0.008208818653905176
182 30950 0.002301 0.007487625011297462
183 28779 0.002139 0.00690884074701913
184 26963 0.002004 0.006435314724686803
185 23910 0.001777 0.006060562921797707
186 22800 0.001695 0.005752916878492873
187 22110 0.001644 0.005458727404394848
188 20597 0.001531 0.005145892685233246
189 19410 0.001443 0.0048044684378521114
190 17804 0.001324 0.004440611096261155
191 15742 0.001170 0.004089348903350089
192 14483 0.001077 0.003769118002103367
193 13867 0.001031 0.0034924915304557083
194 13029 0.000969 0.003251829187148279
195 12381 0.000920 0.0030476013446639216
196 11657 0.000867 0.0028731184515936557
197 10855 0.000807 0.0027220944392143303
198 10000 0.000743 0.0025814617853863785
199 9318 0.000693 0.0024392575071824516
200 8385 0.000623 0.002294983218444035
201 8035 0.000597 0.002145895865785923
202 7707 0.000573 0.0020012276704650957
203 7015 0.000521 0.0018703296260063058
204 6999 0.000520 0.0017518121969254472
205 6310 0.000469 0.001643901946040172
206 6289 0.000468 0.0015486828907228056
207 5709 0.000424 0.001461865508349506
208 5825 0.000433 0.0013809068432184403
209 5154 0.000383 0.0013028040008098518
210 5126 0.000381 0.0012267763143047545
211 4629 0.000344 0.0011503478607252451
212 4290 0.000319 0.0010770142036729267
213 4141 0.000308 0.0010078512969766776
214 3813 0.000283 0.0009431225549439657
215 3649 0.000271 0.0008836651005258724
216 3582 0.000266 0.0008313322670511783
217 3361 0.000250 0.0007827995744375639
218 3127 0.000232 0.0007386627420738127
219 3032 0.000225 0.0006966152153783052
220 3252 0.000242 0.0006595009541394332
221 2775 0.000206 0.0006262064147492279
222 2595 0.000193 0.0005946311432399436
223 2698 0.000201 0.0005620438062335439
224 2706 0.000201 0.000530993219435446
225 2466 0.000183 0.0004991255194546044
226 2243 0.000167 0.0004699407006270396
227 2211 0.000164 0.000442155708021583
228 2269 0.000169 0.0004196675869488333
229 2104 0.000156 0.00039947601557353466
230 2066 0.000154 0.0003843097545892229
231 2074 0.000154 0.00037422454549340895
232 1913 0.000142 0.00036588576039268804
233 1993 0.000148 0.00035544523498197097
234 1892 0.000141 0.00034088498412444487
235 1804 0.000134 0.00032252559289425604
236 1708 0.000127 0.00030468531222550247
237 1674 0.000124 0.0002886373350921009
238 1693 0.000126 0.0002754095918789198
239 1694 0.000126 0.0002651011309392287
240 1575 0.000117 0.0002583132458115623
241 1471 0.000109 0.0002552796220047166
242 1441 0.000107 0.000255395535734156
243 1428 0.000106 0.00025652723106054493
244 1397 0.000104 0.00025563022173136874
245 1612 0.000120 0.00024958855803576557
246 1422 0.000106 0.00024059902668333353
247 1312 0.000098 0.00023067832646863522
248 1304 0.000097 0.00022192762599400006
249 1350 0.000100 0.00021392657719742877
250 1306 0.000097 0.00020850607388178091
251 1346 0.000100 0.0002059058044863536
252 1391 0.000103 0.0002062774144697599
253 1285 0.000096 0.00020873318475240886
254 1288 0.000096 0.00021186700032785764
255 1204 0.000090 0.00021335587001906667
256 1428 0.000106 0.00021059366442702422
257 1220 0.000091 0.0002065441160963123
258 1078 0.000080 0.00020134343437854094
259 1193 0.000089 0.0001961323189958509
260 1257 0.000093 0.00019130624872673645
261 1201 0.000089 0.00018877872913190675
262 1143 0.000085 0.0001897710707145183
263 1257 0.000093 0.0001941121899552875
264 1204 0.000090 0.00020044785431853174
265 983 0.000073 0.0002045294182785833
266 1077 0.000080 0.0002062612637281734
267 1120 0.000083 0.00020552690523019585
268 1207 0.000090 0.0002043474723136309
269 1087 0.000081 0.00020386780958120336
270 961 0.000071 0.00020405175652298948
271 1131 0.000084 0.0002064404940817086
272 1066 0.000079 0.00021386440398866655
273 1119 0.000083 0.0002266936669581027
274 1187 0.000088 0.00023821957937419957
275 1089 0.000081 0.0002441257483527761
276 984 0.000073 0.0002437001119948592
277 1072 0.000080 0.00024009549515581797
278 958 0.000071 0.0002383193423620525
279 1125 0.000084 0.00023891806321608674
280 942 0.000070 0.00024260529181297752
281 1134 0.000084 0.0002508956246889389
282 967 0.000072 0.00026445195688360124
283 968 0.000072 0.00028239943273987585
284 976 0.000073 0.00030300134729300507
285 945 0.000070 0.0003207440088776562
286 940 0.000070 0.0003290270524808662
287 1012 0.000075 0.00033166562628996767
288 1068 0.000079 0.0003338292539548926
289 970 0.000072 0.00033992751670950685
290 1010 0.000075 0.0003517155570908219
291 939 0.000070 0.00036672359797835255
292 935 0.000070 0.0003818285433154023
293 923 0.000069 0.00039695778622829013
294 1036 0.000077 0.0004114430004545515
295 979 0.000073 0.0004268732474539984
296 1032 0.000077 0.00044421328391432044
297 1116 0.000083 0.0004623301281668783
298 1013 0.000075 0.00048220983300994904
299 929 0.000069 0.0005045706061999237
300 1068 0.000079 0.0005254256443225193
301 936 0.000070 0.0005398676946199389
302 1016 0.000076 0.0005449969128793629
303 1141 0.000085 0.0005451987256857359
304 994 0.000074 0.0005465869748275918
305 970 0.000072 0.0005540937823462327
306 983 0.000073 0.0005675506374068754
307 925 0.000069 0.0005845698029392178
308 1050 0.000078 0.0006065701144452883
309 962 0.000072 0.0006289703354642707
310 971 0.000072 0.0006490761506895526
311 936 0.000070 0.0006618736838834825
312 1029 0.000076 0.0006594727975368443
313 1059 0.000079 0.0006456956432558886
314 980 0.000073 0.0006312610251581372
315 1060 0.000079 0.000624416398044543
316 901 0.000067 0.00062022549499322
317 915 0.000068 0.0006178228935235815
318 897 0.000067 0.0006176958314946399
319 904 0.000067 0.000617147992622949
320 827 0.000061 0.0006177785861794062
321 964 0.000072 0.0006171578545802009
322 914 0.000068 0.0006148957502696733
323 862 0.000064 0.0006133337019971166
324 857 0.000064 0.00061009211952648
325 771 0.000057 0.00060681652044967
326 845 0.000063 0.0006027298111206175
327 858 0.000064 0.000595027050799188
328 798 0.000059 0.0005884569862925644
329 1033 0.000077 0.0005816406587084758
330 816 0.000061 0.0005767605620648508
331 893 0.000066 0.0005735362737511342
332 819 0.000061 0.0005715584510779125
333 760 0.000056 0.0005704497669851115
334 774 0.000058 0.0005669637794869268
335 842 0.000063 0.0005642573153923953
336 773 0.000057 0.0005606302590274331
337 780 0.000058 0.0005556039481480293
338 842 0.000063 0.0005493024433178751
339 823 0.000061 0.0005425950260443079
340 623 0.000046 0.0005385662021165166
341 685 0.000051 0.000529253370078521
342 734 0.000055 0.000525981058320795
343 645 0.000048 0.0005198932292310995
344 689 0.000051 0.0005168213010105796
345 695 0.000052 0.0005142794887240804
346 600 0.000045 0.000509036214785134
347 771 0.000057 0.0005042840377319507
348 628 0.000047 0.0004983378492166997
349 619 0.000046 0.000491782363255579
350 591 0.000044 0.0004842421108384315
351 579 0.000043 0.0004781985890929113
352 611 0.000045 0.00047134510051048207
353 677 0.000050 0.00046528285533887484
354 561 0.000042 0.00046120500747865736
355 569 0.000042 0.0004551298988845476
356 501 0.000037 0.0004496462218717207
357 536 0.000040 0.0004437880763371536
358 549 0.000041 0.00043707022539866763
359 567 0.000042 0.000429824545356828
360 540 0.000040 0.0004223344602874404
361 491 0.000036 0.0004137378350290021
362 473 0.000035 0.00040577237503468787
363 512 0.000038 0.0003973971435702097
364 598 0.000044 0.00038959733587234463
365 547 0.000041 0.00038125197613345574
366 483 0.000036 0.00037312172140419237
367 551 0.000041 0.00036457326251668025
368 505 0.000038 0.0003569105217319254
369 508 0.000038 0.0003485621605277859
370 496 0.000037 0.0003404041779766838
371 492 0.000037 0.0003314105017436676
372 479 0.000036 0.00032233249862980145
373 568 0.000042 0.000312935339710956
374 614 0.000046 0.0003038912102763465
375 527 0.000039 0.0002941637472530195
376 572 0.000043 0.0002847837395641774
377 532 0.000040 0.00027550106510560444
378 561 0.000042 0.0002670034882004356
379 519 0.000039 0.0002581730345062848
380 545 0.000041 0.0002499814641297594
381 470 0.000035 0.0002418807952722519
382 511 0.000038 0.00023383286644700473
383 494 0.000037 0.00022582081227784796
384 484 0.000036 0.00021797784065114104
385 494 0.000037 0.00020974224878427368
386 439 0.000033 0.00020158483794083837
387 529 0.000039 0.0001932489113784513
388 489 0.000036 0.00018602567086253277
389 500 0.000037 0.00017871753175809755
390 475 0.000035 0.00017178857776365346
391 507 0.000038 0.00016543018802065476
392 460 0.000034 0.0001595134424502428
393 473 0.000035 0.00015391199365805944
394 466 0.000035 0.00014843246152581666
395 475 0.000035 0.00014234434658228772
396 482 0.000036 0.0001365107844773921
397 508 0.000038 0.00013047155053937272
398 482 0.000036 0.0001251047877444021
399 543 0.000040 0.000120085194430083
400 429 0.000032 0.00011504173232067587
401 514 0.000038 0.00011038260069026088
402 471 0.000035 0.0001062014166692731
403 441 0.000033 0.00010263896327065682
404 476 0.000035 9.941281690702324e-05
405 443 0.000033 9.588709572599751e-05
406 491 0.000036 9.243912678765371e-05
407 485 0.000036 8.888424851562225e-05
408 425 0.000032 8.568068460482645e-05
409 467 0.000035 8.23266186507511e-05
410 439 0.000033 7.90141444294339e-05
411 492 0.000037 7.610086508644511e-05
412 489 0.000036 7.348501665709807e-05
413 450 0.000033 7.15726545117225e-05
414 488 0.000036 6.986996615313812e-05
415 446 0.000033 6.781482001798452e-05
416 399 0.000030 6.575381387924643e-05
417 450 0.000033 6.385245710645636e-05
418 439 0.000033 6.21220409260332e-05
419 460 0.000034 6.034074276326672e-05
420 422 0.000031 5.8395936207801454e-05
421 433 0.000032 5.659791559578168e-05
422 458 0.000034 5.535488020128757e-05
423 436 0.000032 5.440841815893503e-05
424 490 0.000036 5.317338667177582e-05
425 451 0.000034 5.210072016198183e-05
426 419 0.000031 5.101090242218447e-05
427 435 0.000032 5.008387844050242e-05
428 437 0.000032 4.9391397529116425e-05
429 431 0.000032 4.8536980421115296e-05
430 412 0.000031 4.774116334895901e-05
431 439 0.000033 4.687416867228875e-05
432 440 0.000033 4.643209571895193e-05
433 444 0.000033 4.635520103777016e-05
434 452 0.000034 4.6418231808032535e-05
435 398 0.000030 4.671909296767496e-05
436 433 0.000032 4.669636758792049e-05
437 442 0.000033 4.638993227852698e-05
438 486 0.000036 4.59687266550276e-05
439 452 0.000034 4.513188955777992e-05
440 399 0.000030 4.413483138691744e-05
441 408 0.000030 4.3356880179348e-05
442 409 0.000030 4.296797603902162e-05
443 449 0.000033 4.3095038067963244e-05
444 403 0.000030 4.351324222621204e-05
445 441 0.000033 4.390386148953875e-05
446 438 0.000033 4.446070475698144e-05
447 424 0.000032 4.5004684601921605e-05
448 426 0.000032 4.511931198911078e-05
449 400 0.000030 4.485789865847611e-05
450 391 0.000029 4.388685318645208e-05
451 365 0.000027 4.344806755219924e-05
452 385 0.000029 4.368175306099513e-05
453 399 0.000030 4.4589338982006706e-05
454 373 0.000028 4.616153506564879e-05
455 373 0.000028 4.746803001115537e-05
456 387 0.000029 4.859257899170955e-05
457 378 0.000028 4.840834619609003e-05
458 368 0.000027 4.781562827255697e-05
459 343 0.000025 4.688646038712449e-05
460 352 0.000026 4.585810122150587e-05
461 381 0.000028 4.5276388670558294e-05
462 392 0.000029 4.492621772465619e-05
463 391 0.000029 4.519263349737518e-05
464 421 0.000031 4.57594816489865e-05
465 365 0.000027 4.606234378546265e-05
466 395 0.000029 4.6280736114172205e-05
467 371 0.000028 4.6429665961368115e-05
468 387 0.000029 4.636820738718938e-05
469 377 0.000028 4.5747761641817534e-05
470 296 0.000022 4.470210831927885e-05
471 283 0.000021 4.455189212983268e-05
472 285 0.000021 4.4231164128769695e-05
473 310 0.000023 4.4768998116291985e-05
474 276 0.000021 4.528382087022642e-05
475 309 0.000023 4.541088289916804e-05
476 278 0.000021 4.561984205137575e-05
477 284 0.000021 4.564742694629783e-05
478 310 0.000023 4.5792211912909595e-05
479 285 0.000021 4.594442907918949e-05
480 337 0.000025 4.595700664785863e-05
481 288 0.000021 4.604362035937564e-05
482 288 0.000021 4.67043714952554e-05
483 326 0.000024 4.706611952140977e-05
484 285 0.000021 4.7499616859744905e-05
485 273 0.000020 4.784607170581295e-05
486 291 0.000022 4.823111681938856e-05
487 305 0.000023 4.841520668809138e-05
488 307 0.000023 4.8897299178102725e-05
489 331 0.000025 4.9145134451651396e-05
490 289 0.000021 4.889758503193611e-05
491 337 0.000025 4.886785623326361e-05
492 308 0.000023 4.865332293130481e-05
493 318 0.000024 4.896890556336679e-05
494 302 0.000022 4.9172004711990004e-05
495 300 0.000022 4.9466577087297854e-05
496 302 0.000022 4.951860248497474e-05
497 283 0.000021 4.9624082549495456e-05
498 296 0.000022 4.99077924791345e-05
499 296 0.000022 5.020307948902583e-05
500 337 0.000025 5.0321565902965765e-05
501 140 0.000010 4.6310750766678096e-05
502 154 0.000011 4.6443244018454114e-05
503 180 0.000013 4.66553475628291e-05
504 148 0.000011 4.697150190255786e-05
505 148 0.000011 4.706040244474199e-05
506 153 0.000011 4.701466583139967e-05
507 147 0.000011 4.714787371775916e-05
508 142 0.000011 4.77821833740504e-05
509 168 0.000012 4.806632208443953e-05
510 124 0.000009 4.793511517491376e-05
511 140 0.000010 4.7519483701165476e-05
512 166 0.000012 4.7469316353405625e-05
513 145 0.000011 4.7515195893664633e-05
514 133 0.000010 4.7461598299904105e-05
515 152 0.000011 4.699194045164521e-05
516 126 0.000009 4.700594728948129e-05
517 139 0.000010 4.6726096386592995e-05
518 143 0.000011 4.713029370700571e-05
519 162 0.000012 4.69460609113862e-05
520 143 0.000011 4.6829861328113374e-05
521 126 0.000009 4.664305584799336e-05
522 161 0.000012 4.651199186538428e-05
523 140 0.000010 4.655658506339304e-05
524 136 0.000010 4.6357059087687193e-05
525 139 0.000010 4.61315204131429e-05
526 119 0.000009 4.5876681720676186e-05
527 129 0.000010 4.583694803783505e-05
528 124 0.000009 4.565285816913223e-05
529 137 0.000010 4.572060552764553e-05
530 141 0.000010 4.5530798582274926e-05
531 134 0.000010 4.5414456072085414e-05
532 137 0.000010 4.5111879789442655e-05
533 129 0.000010 4.499239288708586e-05
534 148 0.000011 4.486390158897729e-05
535 112 0.000008 4.4387097394883656e-05
536 129 0.000010 4.414540797875286e-05
537 139 0.000010 4.392887369996033e-05
538 142 0.000011 4.3573986165807304e-05
539 127 0.000009 4.3455070971117285e-05
540 119 0.000009 4.307359903045903e-05
541 149 0.000011 4.2760589082897565e-05
542 141 0.000010 4.2347101512899696e-05
543 136 0.000010 4.2239763398461944e-05
544 144 0.000011 4.195619639573959e-05
545 159 0.000012 4.1414217527633154e-05
546 142 0.000011 4.113479540549495e-05
547 120 0.000009 4.066828194940333e-05
548 139 0.000010 4.043945595577506e-05
549 138 0.000010 3.995021711992898e-05
550 131 0.000010 3.95534519991844e-05
551 156 0.000012 3.919427665753052e-05
552 151 0.000011 3.87306217397728e-05
553 148 0.000011 3.8398173731540846e-05
554 125 0.000009 3.7728846980659404e-05
555 123 0.000009 3.711926368095636e-05
556 128 0.000010 3.6688910734788506e-05
557 140 0.000010 3.627813877620784e-05
558 151 0.000011 3.5835922895954325e-05
559 125 0.000009 3.5337250883606395e-05
560 128 0.000010 3.4660634859973515e-05
561 120 0.000009 3.4122086237867755e-05
562 152 0.000011 3.370030890670159e-05
563 135 0.000010 3.319935006368654e-05
564 116 0.000009 3.283331423003132e-05
565 139 0.000010 3.2250887044500276e-05
566 129 0.000010 3.1635443741212745e-05
567 116 0.000009 3.120652006421184e-05
568 124 0.000009 3.0655536800353636e-05
569 142 0.000011 3.031208341953619e-05
570 118 0.000009 2.947267363778801e-05
571 128 0.000010 2.902516946161679e-05
572 115 0.000009 2.8568660889693806e-05
573 137 0.000010 2.816860844986524e-05
574 129 0.000010 2.7549877827493733e-05
575 124 0.000009 2.6885410591779907e-05
576 101 0.000008 2.648978888636888e-05
577 138 0.000010 2.6051146179032737e-05
578 147 0.000011 2.5475150704752953e-05
579 137 0.000010 2.4971190396487315e-05
580 118 0.000009 2.447694911855692e-05
581 112 0.000008 2.3914245847529748e-05
582 115 0.000009 2.3553212455958845e-05
583 125 0.000009 2.306740386611344e-05
584 128 0.000010 2.2657775322866327e-05
585 115 0.000009 2.2169108194687026e-05
586 104 0.000008 2.1553807818316192e-05
587 103 0.000008 2.104127189504887e-05
588 110 0.000008 2.0769853680245567e-05
589 80 0.000006 2.030605583557115e-05
590 115 0.000009 1.996103025867006e-05
591 133 0.000010 1.9502377782996652e-05
592 118 0.000009 1.9137199510841604e-05
593 146 0.000011 1.8843198843200534e-05
594 116 0.000009 1.8484023501546664e-05
595 108 0.000008 1.8117701814058057e-05
596 115 0.000009 1.78395660341701e-05
597 100 0.000007 1.7460666778012356e-05
598 112 0.000008 1.71689529410384e-05
599 136 0.000010 1.681578052988571e-05
600 90 0.000007 1.6467324706983947e-05
601 105 0.000008 1.6118154249498706e-05
602 112 0.000008 1.59689385484694e-05
603 112 0.000008 1.5742399385508246e-05
604 123 0.000009 1.5447827010200396e-05
605 114 0.000008 1.5260592749330294e-05
606 106 0.000008 1.494958377860255e-05
607 103 0.000008 1.477364074415133e-05
608 112 0.000008 1.4645292372959457e-05
609 113 0.000008 1.4491931791346007e-05
610 113 0.000008 1.4168345251949126e-05
611 117 0.000009 1.3928085104985275e-05
612 128 0.000010 1.3815458694629823e-05
613 115 0.000009 1.370368984577454e-05
614 91 0.000007 1.3590634654669005e-05
615 115 0.000009 1.3310783751780713e-05
616 95 0.000007 1.3210734910094398e-05
617 95 0.000007 1.2976906474381811e-05
618 125 0.000009 1.2962613782712337e-05
619 84 0.000006 1.289057861669819e-05
620 104 0.000008 1.2521255463958994e-05
621 107 0.000008 1.2496814961204195e-05
622 108 0.000008 1.2398481242518216e-05
623 114 0.000008 1.2316584119252133e-05
624 120 0.000009 1.2320871926752974e-05
625 102 0.000008 1.2027585893695378e-05
626 114 0.000008 1.2031016139696051e-05
627 104 0.000008 1.1872653115998284e-05
628 100 0.000007 1.2131350835215755e-05
629 130 0.000010 1.2051454688783398e-05
630 91 0.000007 1.1911672164255948e-05
631 95 0.000007 1.1889661419084959e-05
632 91 0.000007 1.1803476488318032e-05
633 110 0.000008 1.1834348702324096e-05
634 111 0.000008 1.1803476488318032e-05
635 102 0.000008 1.1616956862031402e-05
636 100 0.000007 1.147531628758692e-05
637 120 0.000009 1.1444301146664162e-05
638 123 0.000009 1.1446587977331278e-05
639 107 0.000008 1.135697280056368e-05
640 103 0.000008 1.1256209324293891e-05
641 115 0.000009 1.1265356646962354e-05
642 102 0.000008 1.1152587309690208e-05
643 88 0.000007 1.1168023416693239e-05
644 111 0.000008 1.1055968714004566e-05
645 99 0.000007 1.0918044239394147e-05
646 103 0.000008 1.0903179840057894e-05
647 75 0.000006 1.0796699287120317e-05
648 103 0.000008 1.0904466182308147e-05
649 82 0.000006 1.0776117811116273e-05
650 106 0.000008 1.0699366056851201e-05
651 91 0.000007 1.0702224595185096e-05
652 87 0.000006 1.0576305981577034e-05
653 99 0.000007 1.0672495796512592e-05
654 122 0.000009 1.0674639700263011e-05
655 91 0.000007 1.0638193336505854e-05
656 104 0.000008 1.0611894783834023e-05
657 79 0.000006 1.0552151332655623e-05
658 88 0.000007 1.0515276188148383e-05
659 94 0.000007 1.0625329914003328e-05
660 81 0.000006 1.0488977635476551e-05
661 78 0.000006 1.0446671268134908e-05
662 97 0.000007 1.031846582385973e-05
663 84 0.000006 1.0413369296545035e-05
664 90 0.000007 1.0464394205805057e-05
665 95 0.000007 1.0342477545864447e-05
666 96 0.000007 1.031417801635889e-05
667 85 0.000006 1.0471254697806403e-05
668 73 0.000005 1.0490835685393582e-05
669 105 0.000008 1.0647483586091012e-05
670 79 0.000006 1.0565157682074845e-05
671 86 0.000006 1.0483260558808761e-05
672 82 0.000006 1.0501412277228993e-05
673 94 0.000007 1.059974599591497e-05
674 86 0.000006 1.0565872316658319e-05
675 58 0.000004 1.0538001567902846e-05
676 89 0.000007 1.0591456234746675e-05
677 89 0.000007 1.0755393408195538e-05
678 88 0.000007 1.0685787999765202e-05
679 79 0.000006 1.0932479857980314e-05
680 88 0.000007 1.1211759053201827e-05
681 75 0.000006 1.0687503122765539e-05
682 90 0.000007 1.0549435721238424e-05
683 63 0.000005 1.0506843500063393e-05
684 65 0.000005 1.0536572298735898e-05
685 70 0.000005 1.0263296034015564e-05
686 78 0.000006 1.0288165317520448e-05
687 91 0.000007 1.0177254030165333e-05
688 82 0.000006 1.0163533046162639e-05
689 72 0.000005 1.0258579445764637e-05
690 75 0.000006 1.020012233683649e-05
691 86 0.000006 9.94356852136944e-06
692 64 0.000005 1.0083208118980196e-05
693 66 0.000005 1.0155814992661121e-05
694 72 0.000005 1.0092641295482049e-05
695 69 0.000005 9.989876842378535e-06
696 52 0.000004 9.947713401953588e-06
697 63 0.000005 9.975727077625756e-06
698 73 0.000005 1.0044046143805838e-05
699 56 0.000004 1.0096357395316112e-05
700 57 0.000004 1.0271157014433773e-05
